open_time,close_time,strat,dir,entry,exit,lots,pnl,commission,swap,market_state_on_open,liquidity_score_on_open,slippage,exec_ms,was_limit
2026.02.18 12:23:00,2026.02.18 12:25:38,EMA,1,4923.44000,4921.35000,0.01,-2.09,-0.03,0.00,0,0.00,0.00000,0,0
2026.02.18 12:31:13,2026.02.18 12:31:38,EMA,-1,4916.98000,4918.98000,0.01,-2.00,-0.03,0.00,0,0.00,0.00000,0,0
2026.02.18 14:35:38,2026.02.18 14:40:12,EMA,-1,4923.83000,4925.86000,0.01,-2.03,-0.03,0.00,0,0.00,0.00000,0,0
2026.02.18 17:16:42,2026.02.18 17:17:18,EMA,-1,5008.91000,5007.28000,0.01,1.63,-0.03,0.00,0,0.00,0.00000,0,0
2026.02.19 11:04:29,2026.02.19 11:06:29,EMA,1,5016.39000,5018.65000,0.01,2.26,-0.03,0.00,0,0.00,0.00000,0,0
2026.02.19 11:45:00,2026.02.19 11:55:18,EMA,1,5003.61000,5001.51000,0.01,-2.10,-0.03,0.00,0,0.00,0.00000,0,0
2026.02.19 12:27:38,2026.02.19 12:29:14,EMA,-1,4987.84000,4985.58000,0.01,2.26,-0.03,0.00,0,0.00,0.00000,0,0
2026.02.19 12:44:00,2026.02.19 12:47:40,EMA,-1,4988.51000,4990.64000,0.01,-2.13,-0.03,0.00,0,0.00,0.00000,0,0
2026.02.19 12:55:04,2026.02.19 12:58:26,EMA,-1,4990.21000,4992.25000,0.01,-2.04,-0.03,0.00,0,0.00,0.00000,0,0
2026.02.19 14:12:25,2026.02.19 14:12:37,EMA,-1,4984.90000,4986.82000,0.01,-1.92,-0.03,0.00,0,0.00,0.00000,0,0
2026.02.19 14:22:27,2026.02.19 14:26:39,EMA,-1,4986.69000,4988.66000,0.01,-1.97,-0.03,0.00,0,0.00,0.00000,0,0
2026.02.19 15:33:37,2026.02.19 15:36:25,EMA,-1,4988.54000,4990.51000,0.01,-1.97,-0.03,0.00,0,0.00,0.00000,0,0
2026.02.19 16:53:31,2026.02.19 16:53:42,EMA,-1,5002.86000,5004.88000,0.01,-2.02,-0.03,0.00,0,0.00,0.00000,0,0
2026.02.19 17:29:29,2026.02.19 17:30:28,EMA,-1,5015.06000,5017.03000,0.01,-1.97,-0.03,0.00,0,0.00,0.00000,0,0
2026.02.20 11:53:33,2026.02.20 11:55:37,EMA,1,5032.42000,5030.43000,0.01,-1.99,-0.03,0.00,0,0.00,0.00000,0,0
2026.02.20 12:15:39,2026.02.20 12:18:28,EMA,1,5026.45000,5029.08000,0.01,2.63,-0.03,0.00,0,0.00,0.00000,0,0
2026.02.20 12:26:00,2026.02.20 12:29:34,EMA,-1,5024.48000,5026.57000,0.01,-2.09,-0.03,0.00,0,0.00,0.00000,0,0
2026.02.20 12:46:00,2026.02.20 12:46:33,EMA,-1,5029.50000,5027.07000,0.01,2.43,-0.03,0.00,0,0.00,0.00000,0,0
2026.02.20 12:45:39,2026.02.20 12:46:36,EMA,1,5028.49000,5026.59000,0.01,-1.90,-0.03,0.00,0,0.00,0.00000,0,0
2026.02.20 12:52:00,2026.02.20 12:55:37,EMA,1,5033.69000,5036.60000,0.01,2.91,-0.03,0.00,0,0.00,0.00000,0,0
2026.02.20 14:05:00,2026.02.20 14:05:40,EMA,1,5020.82000,5018.76000,0.01,-2.06,-0.03,0.00,0,0.00,0.00000,0,0
2026.02.20 14:33:17,2026.02.20 14:33:36,EMA,-1,5020.30000,5022.34000,0.01,-2.04,-0.03,0.00,0,0.00,0.00000,0,0
2026.02.23 11:45:29,2026.02.23 11:48:50,EMA,1,5145.72000,5147.80000,0.01,2.08,-0.03,0.00,0,0.00,0.00000,0,0
2026.02.23 11:46:26,2026.02.23 11:48:51,EMA,-1,5145.94000,5147.88000,0.01,-1.94,-0.03,0.00,0,0.00,0.00000,0,0
2026.02.23 11:48:59,2026.02.23 11:50:38,EMA,-1,5147.99000,5146.29000,0.01,1.70,-0.03,0.00,0,0.00,0.00000,0,0
2026.02.23 11:51:41,2026.02.23 11:53:41,EMA,1,5145.63000,5147.82000,0.01,2.19,-0.03,0.00,0,0.00,0.00000,0,0
2026.02.23 12:08:00,2026.02.23 12:11:35,EMA,-1,5147.09000,5149.16000,0.01,-2.07,-0.03,0.00,0,0.00,0.00000,0,0
2026.02.23 12:16:37,2026.02.23 12:18:46,EMA,1,5149.87000,5151.97000,0.01,2.10,-0.03,0.00,0,0.00,0.00000,0,0
2026.02.23 12:38:56,2026.02.23 12:41:25,EMA,1,5153.53000,5151.51000,0.01,-2.02,-0.03,0.00,0,0.00,0.00000,0,0
2026.02.23 14:02:37,2026.02.23 14:07:34,EMA,1,5152.14000,5150.09000,0.01,-2.05,-0.03,0.00,0,0.00,0.00000,0,0
2026.02.23 14:18:00,2026.02.23 14:20:29,EMA,1,5151.40000,5149.29000,0.01,-2.11,-0.03,0.00,0,0.00,0.00000,0,0
2026.02.23 14:22:41,2026.02.23 14:23:16,EMA,-1,5150.29000,5152.29000,0.01,-2.00,-0.03,0.00,0,0.00,0.00000,0,0
